"";"Dim.1";"Dim.2";"Dim.3";"Dim.4";"Dim.5"
"AT3G17520.1";0.44;0.29;0.73;-0.26;0.16
"AT3G17810.1";0.62;0.05;0.5;-0.4;-0.03
"AT3G17940.1";0.25;-0.93;0.06;-0.06;0.04
"AT3G18080.1";0.07;0.54;0.55;-0.35;-0.3
"AT3G18190.1";0.37;0.8;-0.39;0.05;0.05
"AT3G18490.1";-0.94;-0.11;0.21;-0.2;0.07
"AT3G18570.1";0.45;0.17;0.69;0.32;0.43
"AT3G18820.1";0.24;0.76;-0.45;0.2;-0.2
"AT3G19170.1";0.28;0.7;0.44;-0.01;0.15
"AT3G19420.1";0;0.42;0.75;0.05;0.21
"AT3G19760.1";-0.22;0.42;-0.58;-0.01;0.49
"AT3G19820.1";-0.24;0.25;-0.76;-0.36;0.28
"AT3G19920.1";-0.35;-0.54;0.1;-0.32;-0.3
"AT3G20390.1";-0.76;0.09;-0.18;-0.44;0.32
"AT3G20820.1";-0.92;-0.23;0.13;0;0.02
"AT3G21370.1";-0.65;0.25;0.55;-0.41;-0.04
"AT3G21380.1";-0.05;0.06;0.59;0.72;-0.17
"AT3G21720.1";-0.88;0.09;-0.09;0.22;-0.05
"AT3G22110.1";0.75;0.29;-0.31;-0.17;0.34
"AT3G22200.1";0.75;-0.58;-0.1;0.1;0.11
"AT3G22490.1";-0.29;0.41;0.72;0.01;0.04
"AT3G22500.1";0.29;0.53;0.63;-0.22;0.25
"AT3G22640.1";-0.57;0.03;0.43;0.43;-0.45
"AT3G23400.1";0.77;-0.21;0.54;0.03;-0.25
"AT3G23490.1";-0.71;0.48;-0.2;0.27;0.29
"AT3G23570.1";0.93;-0.23;0.03;-0.01;0.17
"AT3G23940.1";0.17;0.66;-0.38;0.39;-0.34
"AT3G23990.1";0.59;0.56;-0.46;0.26;-0.08
"AT3G24170.1";-0.09;-0.56;0.31;-0.46;-0.46
"AT3G25230.1";0.28;-0.44;-0.33;0.66;-0.07
"AT3G25860.1";-0.12;-0.75;-0.28;0.12;-0.55
"AT3G26060.1";0.31;-0.84;-0.25;0.26;0.16
"AT3G26070.1";0.81;0.17;-0.37;0.33;0.09
"AT3G26380.1";0.06;-0.93;-0.2;0.07;0.23
"AT3G26650.1";0.47;-0.59;0.34;-0.46;-0.28
"AT3G26720.1";-0.33;-0.67;0.08;-0.23;-0.4
"AT3G27240.1";0.44;0.46;-0.68;-0.2;0.05
"AT3G27430.2";-0.03;0.86;-0.35;0.11;0.22
"AT3G27660.1";-0.35;-0.29;0.39;0.4;-0.65
"AT3G29360.1";-0.72;0.38;-0.04;0.39;0.14
"AT3G42170.1";-0.36;-0.36;0.16;0.17;-0.68
"AT3G44100.1";-0.4;-0.86;0.19;0.14;0.18
"AT3G44110.1";0.28;-0.89;-0.04;0.08;0.14
"AT3G44300.1";0.86;0.09;0.11;-0.01;-0.37
"AT3G45030.1";-0.54;-0.5;0.43;0.09;0.2
"AT3G47520.1";0.59;-0.11;0.49;0.18;0.19
"AT3G47930.1";-0.83;0.02;0.1;0;-0.39
"AT3G48000.1";0.09;0.09;0.7;0.09;0.18
"AT3G48990.1";-0.64;0.3;0.4;0.13;0.04
"AT3G49910.1";-0.36;0.1;0.73;0.31;-0.04
"AT3G50980.1";0.5;-0.24;0.58;0.02;-0.23
"AT3G51800.1";0.35;-0.59;-0.12;0.67;-0.14
"AT3G51810.1";0.77;-0.07;0.35;0.07;0.17
"AT3G51840.1";0.23;-0.15;-0.5;0.79;-0.13
"AT3G52300.1";0.46;0.66;-0.54;-0.07;0.18
"AT3G52850.1";-0.94;0.06;-0.09;-0.06;0.24
"AT3G52930.1";-0.47;0.24;-0.78;0.22;0.04
"AT3G52960.1";0.81;-0.23;-0.11;0.23;-0.44
"AT3G52990.1";-0.3;0.78;-0.17;0.4;0.07
"AT3G53040.1";0.59;0.37;-0.13;0.43;0.02
"AT3G53110.1";-0.18;-0.82;-0.15;0.18;-0.23
"AT3G53970.1";-0.63;-0.01;0.22;-0.53;0
"AT3G53990.1";-0.19;0.64;-0.69;-0.17;-0.03
"AT3G54400.1";-0.97;-0.05;-0.03;0.15;-0.1
"AT3G54660.1";0.04;0.38;0.67;-0.29;-0.42
"AT3G55120.1";-0.81;-0.2;-0.26;0.33;-0.27
"AT3G55260.1";-0.26;0.66;0.3;-0.05;-0.01
"AT3G55360.1";-0.25;-0.73;0.32;0.02;0.07
"AT3G55440.1";-0.74;-0.3;-0.14;-0.25;0.42
"AT3G55800.1";0.52;0.05;0.47;-0.46;-0.39
"AT3G56150.1";-0.7;-0.08;-0.07;0.16;-0.07
"AT3G56310.1";0.25;0.59;0.41;0.15;-0.48
"AT3G56350.1";-0.63;-0.41;-0.13;-0.43;0.26
"AT3G57020.1";-0.69;-0.61;-0.22;-0.25;0.17
"AT3G57290.1";0.41;0.59;-0.64;-0.07;0.11
"AT3G57890.1";0.06;0.83;-0.36;-0.04;-0.37
"AT3G58450.1";0.66;0.48;-0.42;-0.2;0.12
"AT3G58460.1";0.52;0.22;0.57;-0.09;0.22
"AT3G58550.1";-0.05;-0.87;-0.01;-0.31;0.02
